"Step","Prod-TD3-BC-alpha20-noACLN-halfcheetah-medium-v2-40600f64 - d4rl_normalized_score","Prod-TD3-BC-alpha20-noACLN-halfcheetah-medium-v2-40600f64 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha20-noACLN-halfcheetah-medium-v2-40600f64 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-alpha20-halfcheetah-medium-v2-c365d460 - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-alpha20-halfcheetah-medium-v2-c365d460 - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-alpha20-halfcheetah-medium-v2-c365d460 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-alpha20-halfcheetah-medium-v2-8d6bc69a - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-alpha20-halfcheetah-medium-v2-8d6bc69a - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-alpha20-halfcheetah-medium-v2-8d6bc69a - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha20-halfcheetah-medium-v2-d14e8092 - d4rl_normalized_score","Prod-TD3-BC-alpha20-halfcheetah-medium-v2-d14e8092 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha20-halfcheetah-medium-v2-d14e8092 - d4rl_normalized_score__MAX"
"1000","-2.3306496427565317","-2.3306496427565317","-2.3306496427565317","30.291008824641796","30.291008824641796","30.291008824641796","30.291008824641796","30.291008824641796","30.291008824641796","-2.431315355255139","-2.431315355255139","-2.431315355255139"
"2000","-2.574767911653227","-2.574767911653227","-2.574767911653227","42.76982333740864","42.76982333740864","42.76982333740864","42.76982333740864","42.76982333740864","42.76982333740864","-3.7633657879921034","-3.7633657879921034","-3.7633657879921034"
"3000","-2.2293679163823894","-2.2293679163823894","-2.2293679163823894","42.49151835650333","42.49151835650333","42.49151835650333","42.49151835650333","42.49151835650333","42.49151835650333","-0.26381025006088343","-0.26381025006088343","-0.26381025006088343"
"4000","-2.2338915284106595","-2.2338915284106595","-2.2338915284106595","43.098650735253564","43.098650735253564","43.098650735253564","43.098650735253564","43.098650735253564","43.098650735253564","0.418916053221938","0.418916053221938","0.418916053221938"
"5000","-1.9412865853497816","-1.9412865853497816","-1.9412865853497816","42.94666899211009","42.94666899211009","42.94666899211009","42.94666899211009","42.94666899211009","42.94666899211009","-0.16710132321599902","-0.16710132321599902","-0.16710132321599902"
"6000","-1.9118239903784435","-1.9118239903784435","-1.9118239903784435","33.856345685694684","33.856345685694684","33.856345685694684","33.856345685694684","33.856345685694684","33.856345685694684","-0.6423512223288792","-0.6423512223288792","-0.6423512223288792"
"7000","-2.7195105429773827","-2.7195105429773827","-2.7195105429773827","42.75883541724995","42.75883541724995","42.75883541724995","42.75883541724995","42.75883541724995","42.75883541724995","-0.2544521452033815","-0.2544521452033815","-0.2544521452033815"
"8000","-2.9671338135095935","-2.9671338135095935","-2.9671338135095935","37.925525258877","37.925525258877","37.925525258877","37.925525258877","37.925525258877","37.925525258877","-0.2582546505787653","-0.2582546505787653","-0.2582546505787653"
"9000","-2.439331393146295","-2.439331393146295","-2.439331393146295","38.52265472239068","38.52265472239068","38.52265472239068","38.52265472239068","38.52265472239068","38.52265472239068","-0.20685251174575497","-0.20685251174575497","-0.20685251174575497"
"10000","-2.5061565662304583","-2.5061565662304583","-2.5061565662304583","42.649355049478","42.649355049478","42.649355049478","42.649355049478","42.649355049478","42.649355049478","1.4938606893972173","1.4938606893972173","1.4938606893972173"
