"Step","Name: Prod-TD3-BC-noCriticLN-halfcheetah-medium - d4rl_normalized_score","Name: Prod-TD3-BC-noCriticLN-halfcheetah-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-noCriticLN-halfcheetah-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-noActorLN-halfcheetah-medium - d4rl_normalized_score","Name: Prod-TD3-BC-noActorLN-halfcheetah-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-noActorLN-halfcheetah-medium - d4rl_normalized_score__MAX","Name: ProdTD3HCnoLN - d4rl_normalized_score","Name: ProdTD3HCnoLN - d4rl_normalized_score__MIN","Name: ProdTD3HCnoLN - d4rl_normalized_score__MAX","Name: ProdTD3HC - d4rl_normalized_score","Name: ProdTD3HC - d4rl_normalized_score__MIN","Name: ProdTD3HC - d4rl_normalized_score__MAX"
"1000","-1.9237231170190467","-2.581862755257963","-1.2655834787801306","-2.0114742960228704","-2.206310810582285","-1.8166377814634556","-2.14856753319163","-4.738871804045506","2.702191727019151","0.08134340240214548","-2.2780535897593523","1.780098829373778"
"2000","-1.92266251981354","-2.5845615850642156","-1.2607634545628643","-1.854501164472895","-2.3766570346082085","-1.3323452943375815","-2.7889263054567786","-3.445315843774186","-2.4421532911260124","0.5825069540415346","-0.32937279432678385","1.115327592072787"
"3000","-1.9388273493293515","-2.5856583680295904","-1.2919963306291127","-1.811451047403298","-2.0889040515430097","-1.5339980432635862","-1.6898428110567332","-2.572328087282672","-1.0968335988876012","0.8809436723458073","-0.41834733116566086","2.2083820975842623"
"4000","-1.53331460810444","-1.7354402745985444","-1.3311889416103353","-2.1157607753421663","-2.5005484660353416","-1.7309730846489912","-1.612668236947141","-2.261638306148163","-1.0634315631988938","2.2629288372903735","0.7636651518967978","4.248942483626809"
"5000","-1.9112590766970503","-1.915734830492691","-1.9067833229014095","-2.1462243155166467","-2.1881261787425372","-2.104322452290756","-1.7734644522137575","-2.0329101983593145","-1.6101314308256638","4.161187701982537","0.8636469085734233","6.03054931331124"
"6000","-2.4222064044438927","-3.016115170486501","-1.828297638401284","-2.1377511513869845","-2.4300086093079187","-1.8454936934660504","-1.9772134657248115","-2.4800986100429063","-1.7028008016027243","3.258959133885044","-0.4984386217367554","5.446714023493974"
"7000","-2.130053097994936","-2.4596584448502488","-1.8004477511396229","-1.8177024281425118","-2.2560897396122255","-1.3793151166727982","-2.2026675993488745","-2.5982898277030855","-1.8993726055007507","6.769161469343786","3.8775085684132105","11.047675728382501"
"8000","-1.4705271877352575","-2.0935579648342415","-0.8474964106362735","-3.688267654304843","-4.601860731918337","-2.7746745766913494","-2.531000576288003","-4.259482964484176","-1.020482423174885","12.552490498275796","10.547379573040319","14.53565972159471"
"9000","-1.3497938702779522","-2.433993902824068","-0.26559383773183626","-2.7073054078411767","-3.4059739568454837","-2.0086368588368693","-1.4336759087701985","-1.5439934449433448","-1.3669595936687655","10.8146633611068","4.9186672285885145","16.92504179193239"
"10000","-2.0068875152941805","-2.0602642880117155","-1.9535107425766456","-2.360721337633583","-2.4332768838855707","-2.288165791381595","-0.7903390054675169","-1.4094786883744934","-0.13904369629421154","18.29850804345851","1.1596195295489276","28.326412392538813"
"11000","-2.100279419625749","-2.8320883772432386","-1.3684704620082593","-2.3260223427364712","-3.799763951331616","-0.8522807341413265","-1.0847244564843441","-1.54070506586241","-0.5135267388673989","18.439707699556767","10.495568110207751","25.73717111453371"
