"Step","Prod-TD3-BC-hopper-medium-v2-d61c0710 - d4rl_normalized_score","Prod-TD3-BC-hopper-medium-v2-d61c0710 - d4rl_normalized_score__MIN","Prod-TD3-BC-hopper-medium-v2-d61c0710 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-hopper-medium-v2-84598b88 - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-hopper-medium-v2-84598b88 - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-hopper-medium-v2-84598b88 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-hopper-medium-v2-95dda9f2 - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-hopper-medium-v2-95dda9f2 - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-hopper-medium-v2-95dda9f2 - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha10-noLN-hopper-medium-v2-139e30e6 - d4rl_normalized_score","Prod-TD3-BC-alpha10-noLN-hopper-medium-v2-139e30e6 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha10-noLN-hopper-medium-v2-139e30e6 - d4rl_normalized_score__MAX"
"1000","38.48731466865942","38.48731466865942","38.48731466865942","50.4915739059622","50.4915739059622","50.4915739059622","50.4915739059622","50.4915739059622","50.4915739059622","0.779692395511547","0.779692395511547","0.779692395511547"
"2000","32.56359220667193","32.56359220667193","32.56359220667193","51.339201181669935","51.339201181669935","51.339201181669935","51.339201181669935","51.339201181669935","51.339201181669935","1.6749979443860636","1.6749979443860636","1.6749979443860636"
"3000","33.535300300838514","33.535300300838514","33.535300300838514","63.39550642688361","63.39550642688361","63.39550642688361","63.39550642688361","63.39550642688361","63.39550642688361","0.8182332574265532","0.8182332574265532","0.8182332574265532"
"4000","33.84792570744569","33.84792570744569","33.84792570744569","52.913865540925606","52.913865540925606","52.913865540925606","52.913865540925606","52.913865540925606","52.913865540925606","3.143419475458579","3.143419475458579","3.143419475458579"
"5000","24.245677711301475","24.245677711301475","24.245677711301475","48.62204748928844","48.62204748928844","48.62204748928844","48.62204748928844","48.62204748928844","48.62204748928844","3.7577586012478044","3.7577586012478044","3.7577586012478044"
"6000","33.49159831925189","33.49159831925189","33.49159831925189","49.41717223935751","49.41717223935751","49.41717223935751","49.41717223935751","49.41717223935751","49.41717223935751","4.484499774613043","4.484499774613043","4.484499774613043"
"7000","26.03047311688386","26.03047311688386","26.03047311688386","32.93616646406618","32.93616646406618","32.93616646406618","32.93616646406618","32.93616646406618","32.93616646406618","4.586032730913676","4.586032730913676","4.586032730913676"
"8000","26.082764756792542","26.082764756792542","26.082764756792542","49.61766384534259","49.61766384534259","49.61766384534259","49.61766384534259","49.61766384534259","49.61766384534259","4.983360265846249","4.983360265846249","4.983360265846249"
"9000","25.796740780157855","25.796740780157855","25.796740780157855","31.018577033148226","31.018577033148226","31.018577033148226","31.018577033148226","31.018577033148226","31.018577033148226","47.615280579736144","47.615280579736144","47.615280579736144"
"10000","26.573929971441174","26.573929971441174","26.573929971441174","63.227723520298454","63.227723520298454","63.227723520298454","63.227723520298454","63.227723520298454","63.227723520298454","46.600413617772254","46.600413617772254","46.600413617772254"
