"Step","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score__MAX"
"1000","-0.3167946667987793","-0.3167946667987793","-0.3167946667987793","-0.41086596152025967","-0.41086596152025967","-0.41086596152025967","70.666710712939","70.666710712939","70.666710712939","70.666710712939","70.666710712939","70.666710712939"
"2000","-0.35909099670460376","-0.35909099670460376","-0.35909099670460376","16.321060751522783","16.321060751522783","16.321060751522783","42.43723035991226","42.43723035991226","42.43723035991226","42.43723035991226","42.43723035991226","42.43723035991226"
"3000","-0.7661762284893195","-0.7661762284893195","-0.7661762284893195","28.704103650064777","28.704103650064777","28.704103650064777","62.09814766319157","62.09814766319157","62.09814766319157","62.09814766319157","62.09814766319157","62.09814766319157"
"4000","4.396618382153569","4.396618382153569","4.396618382153569","37.341253908034","37.341253908034","37.341253908034","79.0669451309839","79.0669451309839","79.0669451309839","79.0669451309839","79.0669451309839","79.0669451309839"
"5000","67.99496489719374","67.99496489719374","67.99496489719374","46.924027063727955","46.924027063727955","46.924027063727955","69.39530120705841","69.39530120705841","69.39530120705841","69.39530120705841","69.39530120705841","69.39530120705841"
"6000","35.212921008411996","35.212921008411996","35.212921008411996","50.54177547449646","50.54177547449646","50.54177547449646","26.372689816658934","26.372689816658934","26.372689816658934","26.372689816658934","26.372689816658934","26.372689816658934"
"7000","11.432121801695741","11.432121801695741","11.432121801695741","59.4065105666928","59.4065105666928","59.4065105666928","70.91626486949745","70.91626486949745","70.91626486949745","70.91626486949745","70.91626486949745","70.91626486949745"
"8000","27.90804657275356","27.90804657275356","27.90804657275356","64.84280746831362","64.84280746831362","64.84280746831362","62.470109376942126","62.470109376942126","62.470109376942126","62.470109376942126","62.470109376942126","62.470109376942126"
"9000","72.00157341787157","72.00157341787157","72.00157341787157","62.98868875818046","62.98868875818046","62.98868875818046","68.68732146956926","68.68732146956926","68.68732146956926","68.68732146956926","68.68732146956926","68.68732146956926"
"10000","67.5023331819808","67.5023331819808","67.5023331819808","62.570697784069495","62.570697784069495","62.570697784069495","68.16340888244085","68.16340888244085","68.16340888244085","68.16340888244085","68.16340888244085","68.16340888244085"
